TITLE="5MW Offshore Wind Turbine"
VARIABLES="AoA1","C_L","AoA2","C_D"
ZONE T="NACA64_A17", I=112, F=POINT
-25.000000 -0.854750 -25.000000  0.230470
-24.000000 -1.067400 -24.000000  0.166430
-23.000000 -1.345500 -23.000000  0.105960
-22.000000 -1.450300 -22.000000  0.078240
-21.000000 -1.495700 -21.000000  0.059850
-20.000000 -1.502150 -20.000000  0.047030
-19.000000 -1.486900 -19.000000  0.037090
-18.000000 -1.464000 -18.000000  0.029100
-17.000000 -1.416900 -17.000000  0.023160
-16.000000 -1.352200 -16.000000  0.018520
-15.250000 -1.293540 -15.250000  0.015780
-15.000000 -1.271700 -15.000000  0.014980
-14.500000 -1.221050 -14.500000  0.013630
-14.244000 -1.192930 -14.244000  0.013010
-14.000000 -1.165850 -14.000000  0.012570
-13.500000 -1.108800 -13.500000  0.011840
-13.239000 -1.078440 -13.239000  0.011490
-13.000000 -1.050600 -13.000000  0.011170
-12.999000 -1.050480 -12.999000  0.011170
-12.221000 -0.957530 -12.221000  0.010350
-12.005000 -0.931310 -12.005000  0.010160
-12.000000 -0.930700 -12.000000  0.010160
-11.215000 -0.835280 -11.215000  0.009430
-11.001000 -0.809120 -11.001000  0.009250
-11.000000 -0.809000 -11.000000  0.009250
-10.192000 -0.709110 -10.192000  0.008700
-10.000000 -0.685250 -10.000000  0.008580
 -9.983000 -0.683140  -9.983000  0.008560
 -9.702000 -0.648200  -9.702000  0.008380
 -9.178000 -0.582960  -9.178000  0.008040
 -9.000000 -0.560800  -9.000000  0.007940
 -8.977000 -0.557910  -8.977000  0.007930
 -8.472000 -0.494570  -8.472000  0.007670
 -8.184000 -0.458490  -8.184000  0.007540
 -8.124000 -0.450940  -8.124000  0.007510
 -8.000000 -0.435350  -8.000000  0.007440
 -7.617000 -0.387190  -7.617000  0.007250
 -7.446000 -0.365680  -7.446000  0.007180
 -7.185000 -0.332810  -7.185000  0.007080
 -7.107000 -0.322980  -7.107000  0.007050
 -7.000000 -0.309500  -7.000000  0.007010
 -6.647000 -0.265020  -6.647000  0.006860
 -6.595000 -0.258470  -6.595000  0.006840
 -6.500000 -0.246480  -6.500000  0.006810
 -6.421000 -0.236500  -6.421000  0.006780
 -6.134000 -0.200270  -6.134000  0.006690
 -6.000000 -0.183350  -6.000000  0.006650
 -5.540000 -0.125210  -5.540000  0.006500
 -5.500000 -0.120150  -5.500000  0.006480
 -5.395000 -0.106870  -5.395000  0.006450
 -5.040000 -0.062050  -5.040000  0.006350
 -5.000000 -0.057000  -5.000000  0.006340
 -4.540000  0.001320  -4.540000  0.006190
 -4.500000  0.006400  -4.500000  0.006170
 -4.040000  0.064820  -4.040000  0.006000
 -4.000000  0.069900  -4.000000  0.005990
 -3.540000  0.128640  -3.540000  0.005790
 -3.500000  0.133730  -3.500000  0.005770
 -3.040000  0.192540  -3.040000  0.005580
 -3.000000  0.197700  -3.000000  0.005560
 -2.500000  0.262230  -2.500000  0.005290
 -2.000000  0.327500  -2.000000  0.004950
 -1.500000  0.393500  -1.500000  0.004550
 -1.000000  0.457750  -1.000000  0.004410
 -0.500000  0.520880  -0.500000  0.004400
  0.000000  0.583500   0.000000  0.004430
  0.500000  0.646200   0.500000  0.004460
  1.000000  0.708400   1.000000  0.004530
  1.500000  0.770300   1.500000  0.004620
  2.000000  0.832300   2.000000  0.004700
  2.500000  0.893230   2.500000  0.004860
  3.000000  0.953000   3.000000  0.005120
  3.500000  1.008800   3.500000  0.005690
  4.000000  1.061200   4.000000  0.006500
  4.500000  1.112070   4.500000  0.007370
  5.000000  1.164900   5.000000  0.008040
  5.500000  1.215750   5.500000  0.008790
  6.000000  1.266350   6.000000  0.009480
  6.500000  1.316500   6.500000  0.010130
  7.000000  1.365200   7.000000  0.010800
  7.500000  1.414200   7.500000  0.011370
  8.000000  1.462170   8.000000  0.011910
  8.500000  1.506050   8.500000  0.012490
  9.000000  1.541750   9.000000  0.013170
  9.500000  1.578950   9.500000  0.014010
 10.000000  1.614500  10.000000  0.015030
 10.500000  1.648280  10.500000  0.016280
 11.000000  1.680250  11.000000  0.017770
 11.500000  1.710650  11.500000  0.019480
 12.000000  1.739300  12.000000  0.021400
 12.500000  1.764730  12.500000  0.023670
 13.000000  1.789050  13.000000  0.026090
 13.500000  1.809850  13.500000  0.028870
 14.000000  1.828450  14.000000  0.031900
 14.500000  1.846150  14.500000  0.035150
 15.000000  1.863300  15.000000  0.038590
 15.500000  1.878400  15.500000  0.042300
 16.000000  1.891750  16.000000  0.046260
 16.500000  1.902700  16.500000  0.050540
 17.000000  1.911500  17.000000  0.055150
 17.500000  1.916900  17.500000  0.059880
 18.000000  1.921000  18.000000  0.064990
 18.500000  1.923050  18.500000  0.070450
 19.000000  1.924650  19.000000  0.076070
 19.500000  1.925880  19.500000  0.081780
 20.000000  1.925600  20.000000  0.087750
 20.500000  1.923400  20.500000  0.093990
 21.000000  1.920100  21.000000  0.100480
 22.000000  1.910100  22.000000  0.114030
 23.000000  1.895250  23.000000  0.128630
 24.000000  1.877500  24.000000  0.144010
 25.000000  1.855150  25.000000  0.160530
